[2018/10/23 14:56:17 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/23 14:56:30 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 0513D77D--from--30126
[2018/10/23 15:00:14 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05418F95--from--30094
[2018/10/23 15:38:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04E0309D--from--30084
[2018/10/23 16:59:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D041BD--from--30089
[2018/10/23 17:00:04 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 17:00:10 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/23 17:00:15 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04AB7065--from--30081
[2018/10/23 17:02:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/23 17:02:42 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04E0309D--from--30084
[2018/10/23 17:02:44 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04D95FB5--from--30100
[2018/10/23 17:02:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04DFF05D--from--30088
[2018/10/23 17:02:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D041BD--from--30089
[2018/10/23 17:09:25 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BC527D--from--30087
[2018/10/23 17:09:28 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BCA845--from--30091
[2018/10/23 17:09:29 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/23 17:09:32 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05354F2D--from--30103
[2018/10/23 17:09:33 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/23 17:09:34 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/23 17:09:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/23 17:09:38 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/23 17:09:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/23 17:09:40 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 17:09:43 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04AB7065--from--30081
[2018/10/23 17:09:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/23 17:19:32 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/23 17:19:34 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/23 17:19:36 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05287FE5--from--30090
[2018/10/23 17:19:38 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04C22E95--from--30101
[2018/10/23 17:19:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04AB7065--from--30081
[2018/10/23 17:19:41 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D667F5--from--30085
[2018/10/23 17:19:43 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04E0309D--from--30084
[2018/10/23 17:19:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04D95FB5--from--30100
